,MKT_RF,SMB,HML,WML
STK01,0.12700205948692517,0.031177468058777285,0.03460109413177235,-0.46084371418831827
STK02,-0.27241972415092436,0.10414035827579404,-0.017503505927852197,1.1393429609424692
STK03,-0.1842094041663532,0.051088949590010944,0.04621185236956562,0.5859065761507857
STK04,0.09925256510230145,-0.005990825883559367,-0.05756979888445212,-0.37378514128142304
STK05,0.18913999961800126,0.012557843832866691,0.06395197171159664,-0.6491433975312486
STK06,-0.05118493838958166,0.05661546988631639,-0.1267710609044058,0.28049009654286344
STK07,0.3978811568000646,-0.006086560944537211,0.06926475449471088,-1.4608166632918318
STK08,0.1786130232668318,0.028339252074164833,-0.02802233214594158,-0.47666896603858316
STK09,0.18079625882879177,0.034044933265423204,0.0724162033759202,-0.62197992827864
STK10,-0.11874043801759791,0.0050949443990311455,-0.06889483113329353,0.5267488088802921
STK11,-0.13272626978054056,0.05437716866806284,0.04267816828482319,0.46653609558502823
STK12,-0.08672315884124565,0.03826919167310291,-0.018155890441050024,0.2882116021188461
STK13,0.0012025550840273603,0.00692130732253277,0.045260466207081365,0.10314872165714697
STK14,-0.30990467744424893,0.034186535351992606,-0.03347228204774693,1.186488396445589
STK15,-0.11075739847368557,0.06623271457604177,0.06004695341890626,0.4604428985397215
STK16,0.23197897018003696,-0.018430847566705443,-0.14346547939411106,-0.7666688015683895
STK17,-0.18061781750526962,0.030406158012369813,0.016018754307076107,0.7223425661643645
STK18,-0.27681318538863503,0.01873743508662008,0.033131636237652536,0.9377967645967998
STK19,-0.047214895206660105,0.04990739634616871,0.13389939754319205,0.17980656026162453
STK20,-0.05120661311705006,0.07634116952390253,-0.07971494347765588,0.29031784542492073
STK21,-0.03044300299458222,0.004487867190107856,0.04012362841906435,0.1674043365308083
STK22,0.11009816528633902,0.047557598775281616,-0.007911299735241635,-0.3257414178367152
STK23,-0.0007558446352032687,-0.024585725256387168,-0.03278782234241415,0.09827284038753452
STK24,0.1741160783713123,0.011298547832251843,-0.06285340197344179,-0.4371618708674548
STK25,0.06519109722348465,0.01597556896142228,0.06345222010147304,-0.22526949615915356
STK26,-0.02971967442055979,-0.0656443891738531,0.016837878868173912,0.12357131235229082
STK27,-0.029754107027258336,-0.05421975164230175,0.07209531887251244,0.19373080772111265
STK28,-0.11830460125518402,-0.01142561453421963,-0.06188571436650238,0.49935190065627316
STK29,-0.053436391811095704,-0.020362100780121076,0.02947404391995774,0.27267128564734905
STK30,0.06870074818439598,-0.029524417871459735,0.01866870097246096,-0.28723479766304094
STK31,-0.3012781905971422,-0.05495665290564599,0.013081381125130633,1.2272677077426706
STK32,0.030642330897604052,0.019432392867828645,-0.10880922442677644,0.10566435725930302
STK33,-0.06844361395327352,-0.0018723075333642765,-0.011702255399978302,0.28689192194436597
STK34,-0.13861616054846268,-0.0733032499416036,-0.03868045778341347,0.6417748911375086
STK35,-0.14119005185276687,-0.0293586348715084,0.05902851222433232,0.5719701272858221
STK36,0.12411425895793095,0.0007971550070875949,-0.033560229281653815,-0.3589688069127837
STK37,-0.11438924522795407,-0.03729758152281176,-0.007712377365265404,0.5724359047270685
STK38,0.3124161989309664,-0.008447900974407613,-0.11758376103374923,-0.9698217693027852
STK39,0.20397887523424924,-0.022282824091713088,0.08735436931313395,-0.7031308891998992
STK40,0.014940207759820197,-0.013336558355297507,-0.08138152464167178,0.049481791066867134
STK41,0.21598017749894535,-0.01732833073140955,0.02214241175676117,-0.686142567739439
STK42,-0.2623526532980151,-0.01881670788298605,0.002244050076926438,1.0580797933768669
STK43,0.007334098377638208,-0.04304957700223742,0.01893937806128789,0.05874811206161833
STK44,-0.03808841933927493,-0.07314983088014436,0.021734945242878882,0.09415665146900909
STK45,0.316867377516771,-0.03905992739471099,0.0830063755147614,-1.1833439479737746
STK46,-0.11990512656808897,-0.04246517607310162,0.01883719937956687,0.545075613400892
STK47,-0.09891807908504589,-0.017557919387313284,-0.022897221086340142,0.5423016440837911
STK48,0.2897061297238214,0.01667517017134162,-0.04944371512823525,-0.9991309328209285
STK49,-0.15863501567375715,-0.027242719192466593,0.018083349519957787,0.6006113754482276
STK50,0.18679636643919761,-0.058866464354632955,0.008194113470516826,-0.5578558256220968
