,MKT_RF,SMB,HML,WML
2017-01-31,-0.07207227777342673,0.0263353037439661,0.0733391004710647,0.067354723082753
2017-02-28,0.05243700048845596,-0.0012332479917974571,-0.021977173062741714,0.004768265107402409
2017-03-31,0.10971776270179154,-0.0450831541302658,-0.056495712225329967,-0.024718045912095664
2017-04-30,0.041079367424791624,0.010441625486531133,0.015706657290097074,0.0953042536726657
2017-05-31,-0.0369519132879174,0.05289531416339731,-0.007029234616884178,0.016658276127003623
2017-06-30,-0.07159577873858688,-0.02250326071866817,-0.008379487860359695,-0.0024280400484635975
2017-07-31,0.008564987656799182,-0.02659759288895736,-0.013352624343647056,0.061055078155718645
2017-08-31,0.017776120378170633,0.020285545071788893,0.0037453755316892057,-0.043720289650667564
2017-09-30,0.03969011767979121,-0.001020016009456762,0.01648719089608757,-0.015478300071886627
2017-10-31,0.0510391197382347,-0.0005862900982740483,-0.029281222972934295,-0.10537985883181053
2017-11-30,-0.005279916340231839,-0.006682604153647182,0.015713843325865978,0.02042420945817144
2017-12-31,0.07693963065137077,-0.02292187662132933,-0.0018450256666444724,0.19917088964881294
2018-01-31,0.013185626765851732,0.016297117561470557,0.059668395906684005,-0.04725091096017752
2018-02-28,-0.007183415148704749,-0.01952658620997468,0.02860111293648895,0.06590417590457509
2018-03-31,0.04110758759033611,-0.04021448193558696,-0.00634537483381323,-0.02152350570659197
2018-04-30,-0.03444894627430102,-0.008369722497093056,0.027828530846410484,0.09397282393231082
2018-05-31,0.04416503590026509,-0.015488169701879967,0.030338474996041098,0.00833508766709758
2018-06-30,-0.028883787358117637,0.013193674531261503,0.02044571787018418,0.06664036169935912
2018-07-31,0.015924302374836666,-0.011876945800238693,-0.026148636027669248,0.04330064683254117
2018-08-31,-0.010053937128890229,0.012801414166251896,0.03503565227758242,0.05543253801653017
2018-09-30,0.08357629126027015,0.016368793567400994,-0.07120884251669103,-0.04012596230411801
2018-10-31,0.012736010974811212,-0.01290179778301211,-0.011360254149594318,0.09918957362330089
2018-11-30,-0.08394342832430142,0.014646212905731237,0.011368494732333064,0.10165402042934163
2018-12-31,-0.06270381414952939,0.04506803160425346,-0.01023120443692078,0.011684541944242031
2019-01-31,0.07256262747648802,-0.003848380992434895,0.04681280261105545,-0.04513463164686607
2019-02-28,-0.002060642167859471,-0.009876880731190198,0.0007755987234610478,-0.04879279403124361
2019-03-31,-0.06529901936800901,-0.04076491900894191,-0.035514433555080056,-0.023409260872761885
2019-04-30,-0.02907288108814159,0.012657944137299228,0.00849529061016705,-0.010465039071012611
2019-05-31,0.046206706350686674,-0.02183801543912429,0.02573730855532122,0.075739511816839
2019-06-30,-0.11101842008970786,0.024671657224866465,0.02010458913965353,0.08549783842490519
2019-07-31,-0.02143402054373511,-0.006889618355986659,0.025323378239830045,-0.06956681645474887
2019-08-31,-0.008216982713669286,-0.0014168309804826178,-0.008173752569106768,-0.008175002826378156
2019-09-30,-0.043282751144259196,0.054771777425713826,-0.030026722117642016,0.08575922460832056
2019-10-31,-0.04174964085465965,-0.004600218662882647,0.019941765202327287,-0.05219940372450279
2019-11-30,-0.06359504582429468,0.0054739187409670945,-0.013526228072606259,-0.010996518620929482
2019-12-31,0.0043093316337493946,-0.020063423462803546,0.01975150879147024,-0.01923312959199711
2020-01-31,0.03015608725901865,-0.023224444086924114,-0.03168510604180588,-0.10308317481613587
2020-02-29,-0.055257723274794446,0.013462817233154544,0.014320146556051287,0.038540343225803464
2020-03-31,-0.04454599212654347,-0.034424589444692,0.02372461128443658,-0.10817990208523774
2020-04-30,0.02429226643870847,0.008046470864245495,-0.009219987871731967,0.0696018725898119
2020-05-31,-0.042958769581152675,-0.002556970273536189,-0.003284740648129585,-0.018790921486051403
2020-06-30,0.03984656464736417,0.026970248557162076,0.009435494043260152,-0.0467627681742666
2020-07-31,-0.0342049427126018,0.0021021111981035317,0.023206741901893202,-0.008238152766084033
2020-08-31,0.003261237421507795,0.0016277239299184428,-0.0260489000828277,0.11562311619500135
2020-09-30,0.0660846856158223,0.005639581715055587,-0.020101893999997594,0.0011670842746861112
2020-10-31,-0.03472972849712902,0.01900660538701769,-0.007340902049351206,0.037807985907545846
2020-11-30,-0.09214203709723165,0.021329127395835694,0.03083072302280314,0.08884609320133427
2020-12-31,0.058805625047059336,-0.056463760452753586,0.062470031841206274,-0.06987060820938133
2021-01-31,0.0631134645443479,0.014687552426112777,0.09048143550164765,0.1121801395232808
2021-02-28,0.03246459141706086,0.007754272757146634,0.019728411035192173,-0.025655848129765863
2021-03-31,0.00837920092392106,-0.033169385997573714,-0.01096646139619592,0.03854224520899075
2021-04-30,0.04948183287038006,-0.03954896478370957,0.023211695888648305,-0.033992925223819456
2021-05-31,0.022512061031811654,-0.02985274259954286,-0.046122034701934315,0.06191414397152156
2021-06-30,-0.012511167352875786,0.04809242807638915,-0.026316274843210096,-0.026375066416658485
