N,Time,MKT_RF,SMB,HML,WML
10,2017-01-31,-0.024518625844597516,0.010897748652760757,0.02937688573952292,0.0014323692835143296
10,2017-02-28,0.017781647951307086,0.0007833443962197072,-0.00029602360778781267,-0.0016398285529109703
10,2017-03-31,0.04432206822559455,-0.036718886186991734,-0.02311494637443493,0.0049759923809815
10,2017-04-30,0.029737884382705502,-0.007401192545143178,-0.0064275965468395275,0.0022786187648526877
10,2017-05-31,-0.012920577081086132,0.027268620860045133,-0.0006002533623078467,0.0027206759851595946
10,2017-06-30,-0.030257432132966167,-0.0038924101457673502,-0.006273317422794488,-0.0024902298583191888
10,2017-07-31,0.02338009810917293,-0.02094085956953772,-0.01595072893894815,-0.0030946576741481256
10,2017-08-31,0.00031903850029175963,0.0066424274805323745,0.010788788860114026,6.929378942122709e-05
10,2017-09-30,0.015097327808302257,-0.012340391943855424,0.0035972213275349395,0.0017905391618565987
10,2017-10-31,0.012952473641001846,0.004383657550652444,-0.0009587885881762409,0.0018263970953152561
10,2017-11-30,0.0035107823722327013,0.007249884458363252,0.004461658965639804,0.0021366897235209218
10,2017-12-31,0.05417173381542731,-0.01612752355289336,0.006200437871794789,0.01160075674040743
10,2018-01-31,0.0005586700608441483,0.018646109803835565,0.01565587352364376,0.001409257709482517
10,2018-02-28,0.005499418118792049,-0.011047525826109897,-0.00812347352796981,0.0023223210413767727
10,2018-03-31,0.005960010305121152,-0.02557184853923816,9.57912513656562e-05,0.0023364170521114388
10,2018-04-30,-0.013316511930962354,-0.019270701151543737,0.022944136367393963,0.006647293049493582
10,2018-05-31,0.020023650077026226,-0.014044613724305125,0.011154501926390156,0.0012398240057000887
10,2018-06-30,-0.009839601602308942,0.006020188970806582,0.015385626738138796,0.0028971635972499894
10,2018-07-31,0.006991836134705392,-0.011087743300978399,-0.007170936341305766,0.00394479707692004
10,2018-08-31,-0.0013461307757873762,0.017558305741584443,0.002118961508995017,0.008531610970827008
10,2018-09-30,0.029670509362231128,0.005419214654739847,-0.030958841458925527,-0.00024259174470041438
10,2018-10-31,0.011804687947636769,-0.011976994415927448,-0.0030074633904999667,0.008595722691115786
10,2018-11-30,-0.02364231520792079,0.017824823042610568,-0.003001877352692583,0.003567917001363071
10,2018-12-31,-0.022180951440269447,0.027349005164635235,-0.005907128108495592,-0.002114634421268766
10,2019-01-31,0.022221509565850273,-0.007555874284542427,0.031050532322962135,0.005100446567444334
10,2019-02-28,-0.0023715662779499264,0.0025959333415668563,-0.004070135299557408,-0.005493466208768311
10,2019-03-31,-0.028981233013078797,-0.032989431901825746,-0.01612102563007046,-0.0063391083103228
10,2019-04-30,-0.01557421129736094,0.006004195529517026,0.01015460880438778,-0.0005706521781899568
10,2019-05-31,0.045624236120776526,-0.007759076489852811,0.003719264474699501,-0.004277519733189392
10,2019-06-30,-0.05337647898944944,0.005711687425927502,0.012875188196923473,0.0081616780613532
10,2019-07-31,-0.011998424836025427,-0.005657237842877397,0.009231739980463729,-0.0028379265051110517
10,2019-08-31,-0.0013523554591230304,0.003313823910603905,0.008474506927179689,-0.006015860069182865
10,2019-09-30,-0.01718647146030493,0.030084691907105172,-0.019239082323579043,-0.0013658519581835067
10,2019-10-31,-0.022385447847148146,-0.009421490574043036,0.006594539985014103,-0.005987933108427211
10,2019-11-30,-0.024000972620876332,-0.013212268163499732,-0.011685607290342667,-0.0031448434199364294
10,2019-12-31,-4.9627658759803906e-05,-0.02838712642680158,0.003828388841137018,-0.0014716198396427583
10,2020-01-31,0.0066266829015420034,-0.006479535928372311,-0.012614628756662034,-0.008501472363121284
10,2020-02-29,-0.01014865533516772,0.01546095265373799,0.0071167796675688805,-0.0024289310807911937
10,2020-03-31,-0.0232030117972123,-0.019707953324563116,0.0043704712278136125,-0.011404487585996194
10,2020-04-30,0.015073741662318906,-0.011856461143028785,-0.012924621634432185,0.008039906425179055
10,2020-05-31,-0.019520938840588448,-0.003972323336025544,0.004403807408610467,-0.005221041068069955
10,2020-06-30,0.017242680361670343,0.017205939563278892,0.007028092854218995,-0.0045162786707325904
10,2020-07-31,-0.018730878031350293,0.009464652345573981,0.015146357015912177,0.0031318636235998704
10,2020-08-31,0.002243281370089211,0.002118735637299593,-0.014368332977276205,0.015195062782455516
10,2020-09-30,0.022331316932785228,-0.0013286855276248277,0.002598113911204327,0.0012273697156344032
10,2020-10-31,-0.020392068962931612,0.010504887121301803,0.00799464979876442,0.0074828064540217116
10,2020-11-30,-0.032811118267600525,0.016501659549237255,0.004813777563904022,0.002587745133920635
10,2020-12-31,0.025108656994471613,-0.028913110292880146,0.020605170766415735,-0.00642299958654967
